captured_date,source,msft_classification_type,extension_identifier,publisher_name,version,artifact,sha256,size_mb,published_date,last_updated_date,verified_publisher,installation_count,average_rating,rating_count,categories,repository_url,flags,engines_vscode,exists_in_dataset
2025-09-25,removed_list,Malware,0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V,0.0.1,0xS1rx58D3V.ChatGPT-B0T-0.0.1.vsix,16a3169d5b75fe7df05488e7627380af9ea9a0c34d78ac413dde1e79e47dc021,0.55,2024-07-24,2024-07-24,false,47,4.4,1,Other,none,validated;public,^1.91.0,RL
2025-09-21,removed_list,Malware,498-00.cppformat,498-00,1.0.12,498-00.cppformat-1.0.12.vsix,c793ed6f2354eacc34d454203760cf4e7a024b95ca42d030bd36f8a08ec74264,0.84,2025-09-17,2025-09-20,false,36,null,null,Programming Languages;Formatters,https://github.com/AB498/cppformat.git,validated;public,^1.0.0,vsmex
2025-09-25,removed_list,Malware,498-00.cppplayground,498-00,1.0.43,498-00.cppplayground-1.0.43.vsix,a5663ece0b4c8252b8ed8696bbd5b6367f63a34b38fb4c89e41c761222943de6,1.60,2025-09-17,2025-09-18,false,11,null,null,Programming Languages;Snippets;Linters;Debuggers;Formatters;Data Science;Visualization;Education;AI,https://github.com/AB498/cppplayground.git,validated;public,^1.0.0,vsmex
2025-09-21,removed_list,Malware,498-00.pythonformat,498-00,1.0.51,498-00.pythonformat-1.0.51.vsix,19f9e60ef50cdcc0343cbfca5f9be052b34fcb3094bd6c5adc2f90055cd01d34,6.21,2025-09-17,2025-09-18,false,116,null,null,Programming Languages;Linters;Debuggers;Formatters;Visualization,https://github.com/AB498/pythonformat.git,validated;public,^1.0.0,vsmex
2025-09-25,malicious_list,Malicious,498.pythonformat,498,1.0.48,498.pythonformat-1.0.48.vsix,4fec0d46ba7bae1778f0d9e4c7e846bbd1182a19efb46cf8c7ec85aa531b20cd,4.15,2024-11-29,2024-11-29,false,1100,4.5,1,Programming Languages,none,validated;public;unpublished;locked,^1.0.0,RL
2025-09-03,malicious_list,Malicious,7finney.ethcode,7finney,0.5.1,7finney.ethcode-0.5.1.vsix,c5a41f1f4b6ec4bc9f8b96bab139f5bffca6beb54ad049d71679249d249e6606,12.17,2022-10-28,2025-07-01,false,6219,5,1,Programming Languages;Debuggers,https://github.com/7finney/ethcode.git,validated;public,^1.84.0,vsmex
2025-06-23,malicious_list,Malicious,ab-498.cppformat,ab-498,1.0.10,ab-498.cppformat-1.0.10.vsix,4eb39ccdff9c04755c98cc04d03991e4df00fac0a13414f1c59abe970fb87e2e,0.62,2025-04-13,2025-04-23,false,879,0,0,Programming Languages;Formatters,https://github.com/AB498/cppformat.git,validated;public,^1.0.0,vsmex
2025-06-23,malicious_list,Malicious,ab-498.cppplayground,ab-498,1.0.42,ab-498.cppplayground-1.0.42.vsix,2a5e329d44403e27c7bb5e2713d364d020319ca89bf099f4ee933f97e8da8518,0.78,2025-04-13,2025-04-17,false,433,0,0,Programming Languages;Snippets;Linters;Debuggers;Formatters;Data Science;Visualization;Education;AI,https://github.com/AB498/cppplayground.git,validated;public,^1.0.0,vsmex
2025-06-23,malicious_list,Malicious,ab-498.httpformat,ab-498,1.0.56,ab-498.httpformat-1.0.56.vsix,9e4de385e2411d3c787630ba8930d5a927d9ee2ef33ee0b8cae7efafd34af00f,0.27,2025-04-13,2025-06-22,false,11281,5,2,Formatters,https://github.com/AB498/httpformat.git,validated;public,^1.0.0,vsmex
2025-06-23,malicious_list,Malicious,ab-498.pythonformat,ab-498,1.0.50,ab-498.pythonformat-1.0.50.vsix,0200806b14f835f559d32c2d1c07429a227b1e79a2e749a3096a10aad6f053cf,6.03,2025-04-13,2025-04-17,false,4151,0,0,Programming Languages;Linters;Debuggers;Formatters;Visualization,https://github.com/AB498/pythonformat.git,validated;public,^1.0.0,vsmex
2025-09-25,removed_list,Copyright violation,abhiagr.livs,abhiagr,1.0.6,abhiagr.livs-1.0.6.vsix,48146e33b177b9fa80bc9ffbc3b2e53db72e77b9e7e45f3f800cf0c9af8cf2e5,0.02,2017-04-26,2017-04-26,false,9000,4.2,3,Other,https://github.com/agrabhi/livs,validated;public;unpublished;locked,^0.10.1,RL
2025-09-25,malicious_list,Malicious,ahban.cychelloworld,ahban,0.2.2,ahban.cychelloworld-0.2.2.vsix,d1dde6b4ed6629466caf57fd5bd4e3521583533a7cea5e8cdaffea0b0a8970c6,0.41,2025-03-03,2025-03-03,false,7,4.4,1,Other,none,validated;public,^1.94.0,RL
